Festival_name,Tithi,Nakshatra,month,day,weekday,adhik_maasa,calendar_type,icon_file,Festival_en,Festival_ta,Festival_te,Festival_ka,Festival_hi,Festival_ml
Armed_Forces_Flag_Day,,,12,7,,,4,festival.png,Armed Forces Flag Day,ஆயுதப்படை கொடி நாள்,సాయుధ దళాల జెండా దినోత్సవం,ಸಶಸ್ತ್ರ ಪಡೆ ಧ್ವಜ ದಿನ,सशस्त्र सेना झंडा दिवस,സായുധ സേന പതാക ദിനം
Arudra Darshan,,6,9,,,,0,arudra_darshan.png,Arudra Darshan,ஆருத்ரா தரிசனம்,ఆరుద్ర దర్శనం,ಆರುದ್ರ ದರ್ಶನ,अरुद्र दर्शन,ആരുദ്ര ദർശനം
Ashadha Ekadashi,11,,4,,,,2,ekadashi.png,Ashadha Ekadashi,ஆஷாட ஏகாதசி,ఆషాఢ ఏకాదశి,ಆಷಾಢ ಏಕಾದಶಿ,आषाढ़ एकादशी,ആഷാഢ ഏകാദശി
Ashtaka Srartha tithi,23,,6,,,,0,srartha.png,Ashtaka Sratha tithi Sratha tithi,அஷ்டக ஸ்ரார்த்த திதி,అష్టక స్రార్థ తిథి,ಅಷ್ಟಕ ಶ್ರಾರ್ಥ ತಿಥಿ,अष्टका स्रार्थ तिथि,അഷ്ടക സ്രാർത്ത തിഥി
Ashtaka Srartha tithi,23,,9,,,,0,srartha.png,Ashtaka Sratha tithi Sratha tithi,அஷ்டக ஸ்ரார்த்த திதி,అష్టక స్రార్థ తిథి,ಅಷ್ಟಕ ಶ್ರಾರ್ಥ ತಿಥಿ,अष्टका स्रार्थ तिथि,അഷ്ടക സ്രാർത്ത തിഥി
Ashtaka Srartha tithi,23,,10,,,,0,srartha.png,Ashtaka Sratha tithi Sratha tithi,அஷ்டக ஸ்ரார்த்த திதி,అష్టక స్రార్థ తిథి,ಅಷ್ಟಕ ಶ್ರಾರ್ಥ ತಿಥಿ,अष्टका स्रार्थ तिथि,അഷ്ടക സ്രാർത്ത തിഥി
Ashtaka Srartha tithi,23,,11,,,,0,srartha.png,Ashtaka Sratha tithi Sratha tithi,அஷ்டக ஸ்ரார்த்த திதி,అష్టక స్రార్థ తిథి,ಅಷ್ಟಕ ಶ್ರಾರ್ಥ ತಿಥಿ,अष्टका स्रार्थ तिथि,അഷ്ടക സ്രാർത്ത തിഥി
Ashtaka Srartha tithi,23,,12,,,,0,srartha.png,Ashtaka Sratha tithi Sratha tithi,அஷ்டக ஸ்ரார்த்த திதி,అష్టక స్రార్థ తిథి,ಅಷ್ಟಕ ಶ್ರಾರ್ಥ ತಿಥಿ,अष्टका स्रार्थ तिथि,അഷ്ടക സ്രാർത്ത തിഥി
Ashura,,,1,10,,,3,fasting.png,Day of Ashura,ஆஷுரா தினம்,ఆషురా దినం,ಅಶುರಾ ದಿನ,आशूरा का दिन,ആഷുറ ദിനം
Ashura (Pre-fasting),,,1,9,,,3,fasting.png,Ashura (Day before),ஆஷுரா (முந்தைய நாள்),ఆஷురా (ముందు రోజు),ಅಶುರಾ (ಹಿಂದಿನ ದಿನ),आशूरा (एक दिन पहले),ആഷുറ (തലേദിവസം)
Assumption Day,,,8,15,,,4,festival.png,Assumption of Mary,மரியாளின் விண்ணேற்பு,మరియమ్మ స్వర్గారోహణం,ಮೇರಿಯ ಸ್ವರ್ಗಾರೋಹಣ,मरियम का स्वर्गारोहण,സ്വർഗ്ഗാരോപണ പെരുന്നാൾ
Attukkal Pongala,,11,11,,,,0,festival.png,Attukkal Pongala,ஆற்றுக்கால் பொங்கல்,అట్టుకల్ పొంగల,ಅಟ್ಟುಕಲ್ ಪೊಂಗಲ,अट्टुकल पोंगाला,ആറ്റുകാൽ പൊങ്കാല
Ayyappa Mandala Pooja,,,8,1,,,0,ayyappan.png,Ayyappa Mandala Pooja,ஐயப்ப மண்டல பூஜை,అయ్యప్ప మండల పూజ,ಅಯ್ಯಪ್ಪ ಮಂಡಲ ಪೂಜೆ,अय्यप्पा मंडल पूजा,അയ്യപ്പ മണ്ഡല പൂജ
Baanadha Ashtami,8,,10,,,,2,festival.png,Baanadha Ashtami,பாணதா அஷ்டமி,బాణాధ అష్టమి,ಬಾನದ ಅಷ್ಟಮಿ,बाणधा अष्टमी,ബാനധ അഷ്ടമി
Balachandra Sankashti,19,,1,,,,2,chathurthi.png,Balachandra Sankashti/Sankatahara Chathurthi,பாலச்சந்திர சங்கஷ்டி/சங்கடஹர சதுர்த்தி,బాలచంద్ర కష్టం/సంకటహర చతుర్థి,ಬಾಲಚಂದ್ರ ಸಂಕಷ್ಟಿ/ಸಂಕಷ್ಟಹರ ಚತುರ್ಥಿ,बालचंद्र संकष्टी/संकटहर चतुर्थी,ബാലചന്ദ്ര പ്രതിസന്ധി/സങ്കടഹര ചതുർത്ഥി
Bali Pratipada,1,,7,,,,0,festival.png,Bali Pratipada,பாலி பிரதிபதா,బలి ప్రతిపద,ಬಲಿ ಪ್ರತಿಪದ,बलि प्रतिपदा,ബാലി പ്രതിപദ
Bengali New Year,1,,2,,,,2,festival.png,Bengali New Year,வங்காளப் புத்தாண்டு,బెంగాలీ నూతన సంవత్సరం,ಬಂಗಾಳಿ ಹೊಸ ವರ್ಷ,बंगाली नव वर्ष,ബംഗാളി പുതുവത്സരം
Bhadrapaadha Purnima,15,,6,,,,2,festival.png,Bhadrapaadha/Madhu Purnima,பத்ரபாதா/மது பூர்ணிமா,భాద్రపద/మధు పూర్ణిమ,ಭಾದ್ರಪದ/ಮಧು ಪೂರ್ಣಿಮಾ,भाद्रपद/मधु पूर्णिमा,ഭദ്രപാദ/മധു പൂർണിമ
Bhai Dooj,2,,8,,,,2,bhai_tooj.png,Bhai Dooj / Yama Dwitiya,பாய் தூஜ் / யம த்விதியா,భాయ్ దూజ్ / యమ ద్వితీయ,ಭಾಯಿ ದೂಜ್ / ಯಮ ದ್ವಿತೀಯ,भाई दूज / यम द्वितीया,ഭായ് ദൂജ് / യമ ദ്വിതീയ
Bhairavashtami,23,,9,,,,1,festival.png,Bhairavashtami / Kaala Bhairava Ashtami,பைரவாஷ்டமி / கால பைரவ அஷ்டமி,భైరవష్టమి / కాల భైరవ అష్టమి,ಭೈರವಾಷ್ಟಮಿ / ಕಾಲ ಭೈರವ ಅಷ್ಟಮಿ,भैरवाष्टमी/कालभैरव अष्टमी,ഭൈരവാഷ്ടമി / കാലഭൈരവ അഷ്ടമി
Bheeshma Ashtami,8,,11,,,,2,festival.png,Bheeshma Ashtami,பீஷ்ம அஷ்டமி,భీష్మ అష్టమి,ಭೀಷ್ಮ ಅಷ್ಟಮಿ,भीष्म अष्टमी,ഭീഷ്മ അഷ്ടമി
Bogi Pandigai,,,9,29,,,0,festival.png,Bogi Pandigai,போகி பண்டிகை,బోగి పండిగై,ಬೋಗಿ ಪಾಂಡಿಗೈ,बोगी पंडिगाई,ബോഗി പാണ്ടിഗൈ
Brahma Savarni Manvadi Srartha tithi,7,,11,,,,0,srartha.png,Brahma Savarni Manvadi Sratha tithi Sratha tithi,பிரம்ம சாவர்ணி மன்வாதி ஸ்ரார்த்த திதி,బ్రహ్మ సావర్ణి మన్వాది స్రార్థ తిథి,ಬ್ರಹ್ಮ ಸಾವರ್ಣಿ ಮನ್ವಾದಿ ಶ್ರಾರ್ಥ ತಿಥಿ,ब्रह्मा सावर्णि मन्वादि श्रार्थ तिथि,ബ്രഹ്മ സാവർണി മാൻവാദി ശ്രാർത്ഥ തിഥി
Buddha Purnima,15,,2,,,,2,festival.png,Buddha Purnima,புத்த பூர்ணிமா,బుద్ధ పూర్ణిమ,ಬುದ್ಧ ಪೂರ್ಣಿಮೆ,बुद्ध पूर्णिमा,ബുദ്ധ പൂർണിമ
Chakshusha Manvadi Srartha tithi,15,,4,,,,0,srartha.png,Chakshusha Manvadi Sratha tithi Sratha tithi,சக்ஷுஷா மன்வாதி ஸ்ரார்த்த திதி,చక్షుషా మన్వాది స్రార్థ తిథి,ಚಕ್ಷುಷಾ ಮನ್ವಾದಿ ಶ್ರಾರ್ಥ ತಿಥಿ,चाक्षुषा मन्वादि श्रार्थ तिथि,ചക്ഷുഷാ മൻവാദി ശ്രാർത്ഥ തിഥി
Chhath Puja,6,,7,,,,0,festival.png,Chhath Puja,சத் பூஜை,ఛత్ పూజ,ಛತ್ ಪೂಜೆ,छठ पूजा,ഛത് പൂജ
Childrens_Day_India,,,11,14,,,4,festival.png,Children's Day,குழந்தைகள் தினம்,బాలల దినోత్సవం,ಮಕ್ಕಳ ದಿನ,बाल दिवस,ബാലദിനം
Chitra Purnima,15,,1,,,,2,festival.png,Chitra Pournami,சித்ரா பௌர்ணமி,చిత్ర పౌర్ణమి,ಚಿತ್ರ ಪೌರ್ಣಮಿ,चित्रा पूर्णिमा,ചിത്ര പൗർണമി
Christmas,,,12,25,,,4,christmas.png,Christmas,கிறிஸ்துமஸ்,క్రిస్మస్,ಕ್ರಿಸ್ಮస్,क्रिसमस,ക്രിസ്മസ്
Constitution_Day_India,,,11,26,,,4,festival.png,Constitution Day (India),அரசமைப்பு நாள்,రాజ్యాంగ దినోత్సవం,ಸಂವಿಧಾನ ದಿನ,संविधान दिवस,ഭരണഘടന ദിനം
Dagdha Tithi,2,,8,,,,2,festival.png,Dagdha Tithi,தக்த திதி,దగ్ధ తిథి,ದಗ್ಧ ತಿಥಿ,दग्ध तिथि,ദഗ്ധ തിഥി
Dagdha Tithi,2,,12,,,,2,festival.png,Dagdha Tithi,தக்த திதி,దగ్ధ తిథి,ದಗ್ಧ ತಿಥಿ,दग्ध तिथि,ദഗ്ധ തിഥി
Dagdha Tithi,4,,10,,,,2,festival.png,Dagdha Tithi,தக்த திதி,దగ్ధ తిథి,ದಗ್ಧ ತಿಥಿ,दग्ध तिथि,ദഗ്ധ തിഥി
Dagdha Tithi,4,,2,,,,2,festival.png,Dagdha Tithi,தக்த திதி,దగ్ధ తిథి,ದಗ್ಧ ತಿಥಿ,दग्ध तिथि,ദഗ്ധ തിഥി
Dagdha Tithi,6,,1,,,,2,festival.png,Dagdha Tithi,தக்த திதி,దగ్ధ తిథి,ದಗ್ಧ ತಿಥಿ,दग्ध तिथि,ദഗ്ധ തിഥി
Dagdha Tithi,6,,3,,,,2,festival.png,Dagdha Tithi,தக்த திதி,దగ్ధ తిథి,ದಗ್ಧ ತಿಥಿ,दग्ध तिथि,ദഗ്ധ തിഥി
Dagdha Tithi,8,,2,,,,2,festival.png,Dagdha Tithi,தக்த திதி,దగ్ధ తిథి,ದಗ್ಧ ತಿಥಿ,दग्ध तिथि,ദഗ്ധ തിഥി
Dagdha Tithi,8,,5,,,,2,festival.png,Dagdha Tithi,தக்த திதி,దగ్ధ తిథి,ದಗ್ಧ ತಿಥಿ,दग्ध तिथि,ദഗ്ധ തിഥി
Dagdha Tithi,10,,4,,,,2,festival.png,Dagdha Tithi,தக்த திதி,దగ్ధ తిథి,ದಗ್ಧ ತಿಥಿ,दग्ध तिथि,ദഗ്ധ തിഥി
Dagdha Tithi,10,,7,,,,2,festival.png,Dagdha Tithi,தக்த திதி,దగ్ధ తిథి,ದಗ್ಧ ತಿಥಿ,दग्ध तिथि,ദഗ്ധ തിഥി
Dagdha Tithi,12,,6,,,,2,festival.png,Dagdha Tithi,தக்த திதி,దగ్ధ తిథి,ದಗ್ಧ ತಿಥಿ,दग्ध तिथि,ദഗ്ധ തിഥി
Dagdha Tithi,12,,9,,,,2,festival.png,Dagdha Tithi,தக்த திதி,దగ్ధ తిథి,ದಗ್ಧ ತಿಥಿ,दग्ध तिथि,ദഗ്ധ തിഥി
Daiva Savarni Manvadi Srartha tithi,30,,5,,,,0,srartha.png,Daiva Savarni Manvadi Sratha tithi Sratha tithi,தெய்வ சாவர்ணி மன்வாதி ஸ்ரார்த்த திதி,దైవ సావర్ణి మన్వాది స్రార్థ తిథి,ದೈವ ಸಾವರ್ಣಿ ಮನ್ವಾದಿ ಶ್ರಾರ್ಥ ತಿಥಿ,दैव सावर्णि मन्वादि श्रार्थ तिथि,ദൈവ സാവർണി മാൻവാദി ശ്രാർത്ഥ തിഥി
Daksha Savarni Manvadi Srartha tithi,9,,7,,,,0,srartha.png,Daksha Savarni Manvadi Sratha tithi Sratha tithi,தக்ஷ சாவர்ணி மன்வாதி ஸ்ரார்த்த திதி,దక్ష సావర్ణి మన్వాది స్రార్థ తిథి,ದಕ್ಷ ಸಾವರ್ಣಿ ಮನ್ವಾದಿ ಶ್ರಾರ್ಥ ತಿಥಿ,दक्ष सावर्णि मन्वादि श्रार्था तिथि,ദക്ഷ സാവർണി മാൻവാദി ശ്രാർത്ഥ തിഥി
Dandi_March_Day,,,3,12,,,4,festival.png,Dandi March Day,தாண்டி நடைப்பயண நாள்,దాండీ మార్చ్ దినోత్సవం,ದಾಂಡಿ ಮಾರ್ಚ್ ದಿನ,दांडी मार्च दिवस,ദാണ്ടി മാർച്ച് ദിനം
Day of Arafah,,,12,9,,,3,festival.png,Day of Arafah,அரஃபா தினம்,అరాఫా దినం,ಅರಾಫಾ ದಿನ,अराफा का दिन,അറഫാ ദിനം
Devashayani Ekadashi,11,,4,,,,2,ekadashi.png,Devashayani Ekadashi,தேவஷயனி ஏகாதசி,దేవశయని ఏకాదశి,ದೇವಶಯನಿ ಏಕಾದಶಿ,देवशयनी एकादशी,ദേവശയനി ഏകാദശി
Dhanus  Sankranthi,,,9,1,,,0,dhanusu.jpg,Dhanus  Sankranthi,தனுசு சங்கராந்தி,ధనస్సు సంక్రాంతి,ಧನಸ್ಸು ಸಂಕ್ರಾಂತಿ,धनु संक्रांति,ധനുസ് സംക്രാന്തി
Dharma Savarni Manvadi Srartha tithi,11,,10,,,,0,srartha.png,Dharma Savarni Manvadi Sratha tithi Sratha tithi,தர்ம சாவர்ணி மன்வாதி ஸ்ரார்த்த திதி,ధర్మ సావర్ణి మన్వాది స్రార్థ తిథి,ಧರ್ಮ ಸಾವರ್ಣಿ ಮನ್ವಾದಿ ಶ್ರಾರ್ಥ ತಿಥಿ,धर्म सावर्णि मन्वादि श्रार्थ तिथि,ധർമ്മ സാവർണി മാൻവാദി ശ്രാർത്ഥ തിഥി
Diwali (Deepavali),29,,7,,,,0,diwali.png,Diwali (Deepavali),தீபாவளி,దీపావళి,ದೀಪಾವಳಿ,दिवाली (दीपावली),ദീപാവലി
Durgashtami,8,,,,,,0,durgashtami.png,Durga Ashtami,துர்கா அஷ்டமி,దుర్గా అష్టమి,ದುರ್ಗಾ ಅಷ್ಟಮಿ,दुर्गा अष्टमी,ദുർഗ്ഗാഷ്ടമി
Dwapara Yuga Srartha tithi,30,,11,,,,0,srartha.png,Dwapara Yuga Sratha tithi Sratha tithi,துவாபர யுக ஸ்ரார்த்த திதி,ద్వాపర యుగ స్రార్థ తిథి,ದ್ವಾಪರ ಯುಗ ಶ್ರಾರ್ಥ ತಿಥಿ,द्वापर युग श्रार्थ तिथि,ദ്വാപരയുഗ ശ്രാർത്ഥ തിഥി
Dwijapriya Sankashti,19,,12,,,,2,chathurthi.png,Dwijapriya Sankashti/Sankatahara Chathurthi,த்விஜப்ரியா சங்கஷ்டி/சங்கடஹர சதுர்த்தி,ద్విజప్రియ సంక్షోభి/సంకటహర చతుర్థి,ದ್ವಿಜಪ್ರಿಯ ಸಂಕಷ್ಟಿ/ಸಂಕಷ್ಟಹರ ಚತುರ್ಥಿ,द्विजप्रिया संकष्टी/संकटहर चतुर्थी,ദ്വിജപ്രിയ ബുദ്ധിമുട്ടി/സങ്കടഹര ചതുർത്ഥി
Eid al-Adha,,,12,10,,,3,festival.png,Eid al-Adha (Bakrid),தியாகத் திருநாள் (பக்ரீத்),ఈద్-అల్-అధా (బక్రీద్),ಈದ್-ಅಲ್-ಅಧಾ (ಬಕ್ರೀದ್),ईद-अल-अधा (बकरीद),ഈദുൽ അദ്ഹ (ബക്രീദ്)
Eid al-Adha Day 2,,,12,11,,,3,festival.png,Eid al-Adha Day 2,பக்ரீத் இரண்டாம் நாள்,బక్రీద్ రెండో రోజు,ಬಕ್ರೀದ್ ಎರಡನೇ ದಿನ,बकरीद दूसरा दिन,ബക്രീദ് രണ്ടാം ദിനം
Eid al-Adha Day 3,,,12,12,,,3,festival.png,Eid al-Adha Day 3,பக்ரீத் மூன்றாம் நாள்,బక్రీద్ మూడో రోజు,ಬಕ್ರೀದ್ ಮೂರನೇ ದಿನ,बकरीद तीसरा दिन,ബക്രീദ് മൂന്നാം ദിനം
Eid al-Fitr,,,10,1,,,3,eid-al-fitr.png,Eid al-Fitr,ஈகைத் திருநாள் (ரம்ஜான்),ఈద్-ఉల్-ఫితర్,ಈದ್-ಉಲ್-ಫಿತರ್,ईद-उल-फितर,ഈദുൽ ഫിത്വ്ര്
Ekadanta Sankashti,19,,3,,,,2,chathurthi.png,Ekadanta Sankashti/Sankatahara Chathurthi,ஏகதந்த சங்கஷ்டி/சங்கடஹர சதுர்த்தி,ఏకదంత సంక్షోభం/సంకటహర చతుర్థి,ಏಕದಂತ ಸಂಕಷ್ಟಿ/ಸಂಕಷ್ಟಹರ ಚತುರ್ಥಿ,एकदंत संकष्टी/संकटहर चतुर्थी,ഏകദന്ത പ്രതിസന്ധി/സങ്കടഹര ചതുർത്ഥി
English New Year,,,1,1,,,4,festival.png,English New Year,ஆங்கில புத்தாண்டு,ఆంగ్ల నూతన సంవత్సరం,ಇಂಗ್ಲಿಷ್ ಹೊಸ ವರ್ಷ,अंग्रेजी नया साल,ഇംഗ്ലീഷ് പുതുവർഷം
Epiphany,,,1,6,,,4,festival.png,Epiphany,எபிபானி,ఎపిఫనీ,ಎಪಿಫನಿ,ईपीफनी,എപ്പിഫാനി
Gajanana Sankashti,19,,5,,,,2,chathurthi.png,Gajanana Sankashti/Sankatahara Chathurthi,கஜானன சங்கஷ்டி/சங்கடஹர சதுர்த்தி,గజానన ఇబ్బందులు/సంకటహర చతుర్థి,ಗಜಾನನ ಸಂಕಷ್ಟಿ/ಸಂಕಷ್ಟಹರ ಚತುರ್ಥಿ,गजानन संकष्टी/संकटहर चतुर्थी,ഗജാനന പ്രതിസന്ധി/സങ്കടഹര ചതുർത്ഥി
Ganadhipa Sankashti,19,,9,,,,2,chathurthi.png,Ganadhipa Sankashti/Sankatahara Chathurthi,கணாதிப சங்கஷ்டி/சங்கடஹர சதுர்த்தி,గణాధిప సంక్షోభి/సంకటహర చతుర్థి,ಗಣಾಧಿಪ ಸಂಕಷ್ಟಿ/ಸಂಕಷ್ಟಹರ ಚತುರ್ಥಿ,गणाधिप संकष्टी/संकटहर चतुर्थी,ഗണാധിപ പ്രതിസന്ധി/സങ്കടഹര ചതുർത്ഥി
Gandhi_Jayanti,,,10,2,,,4,festival.png,Gandhi Jayanti,காந்தி ஜயந்தி,గాంధీ జయంతి,ಗಾಂಧಿ ಜಯಂತಿ,गांधी जयंती,ഗാന്ധി ജയന്തി
"Ganesh Chathurthi,4,,5,,,,0,chathurthi.png,Ganesh Chathurthi,கணேஷ் சதுர்த்தி,గణేష్ చతుర్థి,ಗಣೇಶ್ ಚತುರ್ಥಿ,गणेश चतुर्थी,ഗണേശ ചതുർത്ഥി",4,,5,,,,0,chathurthi.png,Ganesh Chathurthi,கணேஷ் சதுர்த்தி,గణేష్ చతుర్థి,ಗಣೇಶ್ ಚತುರ್ಥಿ,गणेश चतुर्थी,ഗണേശ ചതുർത്ഥി
Ganga Jayanthi,7,,2,,,,2,festival.png,Ganga Jayanthi/Sapthami,கங்கா ஜெயந்தி/சப்தமி,గంగా జయంతి/సప్తమి,ಗಂಗಾ ಜಯಂತಿ/ಸಪ್ತಮಿ,गंगा जयंती/सप्तमी,ഗംഗാ ജയന്തി/സപ്തമി
Gangaur,3,,1,,,,0,festival.png,Gangaur/Gauri Trithyai,கங்கௌர்/கௌரி திரிதியை,గంగౌర్/గౌరీ తృత్యై,ಗಂಗೌರ್/ಗೌರಿ ತೃತ್ಯೈ,गणगौर/गौरी तृतीयाई,ഗംഗൗർ/ഗൗരി തൃത്യൈ
Gayathri Japam,16,22,4,,,,0,upakarma.png,Upakarma (rig/yajur)/Aavani avittam,காயத்ரி ஜபம்,ಗಾಯತ್ರಿ ಜಪ,ಗಾಯತ್ರಿ ಜಪ,गायत्री जपम,ഗായത്രി ജപം
Gayathri Japam,16,22,5,,,,0,upakarma.png,Upakarma (rig/yajur)/Aavani avittam,காயத்ரி ஜபம்,ಗಾಯತ್ರಿ ಜಪ,ಗಾಯತ್ರಿ ಜಪ,गायत्री जपम,ഗായത്രി ജപം
Gayathri Japam,16,23,4,,,,0,upakarma.png,Upakarma (rig/yajur)/Aavani avittam,காயத்ரி ஜபம்,ಗಾಯತ್ರಿ ಜಪ,ಗಾಯತ್ರಿ ಜಪ,गायत्री जपम,ഗായത്രി ജപം
Gayathri Japam,16,23,5,,,,0,upakarma.png,Upakarma (rig/yajur)/Aavani avittam,காயத்ரி ஜபம்,ಗಾಯತ್ರಿ ಜಪ,ಗಾಯತ್ರಿ ಜಪ,गायत्री जपम,ഗായത്രി ജപം
Gayathri Jayanthi,11,,3,,,,2,festival.png,Gayathri Jayanthi,காயத்ரி ஜெயந்தி,గాయత్రి జయంతి,ಗಾಯತ್ರಿ ಜಯಂತಿ,गायत्री जयंती,ഗായത്രി ജയന്തി
Gita Jayanthi,11,,9,,,,2,festival.png,Gita Jayanthi,கீதா ஜெயந்தி,గీతా జయంతి,ಗೀತಾ ಜಯಂತಿ,गीता जयंती,ഗീതാ ജയന്തി
Gokulashtami,23,4,,,,,0,janmashtami.png,Gokulashtami/Krishna Jayanthi/Janmashtami,கோகுலாஷ்டமி/கிருஷ்ண ஜெயந்தி/ஜென்மாஷ்டமி,గోకులాష్టమి/కృష్ణ జయంతి/జన్మాష్టమి,ಗೋಕುಲಾಷ್ಟಮಿ/ಕೃಷ್ಣ ಜಯಂತಿ/ಜನ್ಮಾಷ್ಟಮಿ,गोकुल अष्टमी/कृष्ण जयन्ती/जनमाष्टमी,ഗോകുലാഷ്ടമി/കൃഷ്ണ ജയന്തി/ജന്മാഷ്ടമി
Gokulashtami,23,3,,,,,0,janmashtami.png,Gokulashtami/Krishna Jayanthi/Janmashtami,கோகுலாஷ்டமி/கிருஷ்ண ஜெயந்தி/ஜென்மாஷ்டமி,గోకులాష్టమి/కృష్ణ జయంతి/జన్మాష్టమి,ಗೋಕುಲಾಷ್ಟಮಿ/ಕೃಷ್ಣ ಜಯಂತಿ/ಜನ್ಮಾಷ್ಟಮಿ,गोकुल अष्टमी/कृष्ण जयन्ती/जनमाष्टमी,ഗോകുലാഷ്ടമി/കൃഷ്ണ ജയന്തി/ജന്മാഷ്ടമി
