Festival_name,Tithi,Nakshatra,tamil_month,tamil_day,icon_file,Festival_en,Festival_ta,Festival_te,Festival_ka,Festival_hi,Festival_ml
Jyeshtha Amavasya,30,,3,,,Jyeshtha Amavasya,ஜ்யேஷ்ட அமாவாசை,జ్యేష్ఠ అమావాస్య,ಜ್ಯೇಷ್ಠ ಅಮಾವಾಸ್ಯೆ,ज्येष्ठ अमावस्या,ജ്യേഷ്ഠ അമാവാസി
Ashadha Ekadashi,11,,4,,,Ashadha Ekadashi,ஆஷாட ஏகாதசி,ఆషాఢ ఏకాదశి,ಆಷಾಢ ಏಕಾದಶಿ,आषाढ़ एकादशी,ആഷാഢ ഏകാദശി
Nag Panchami,5,,5,,,Nag Panchami,நாக் பஞ்சமி,నాగ్ పంచమి,ನಾಗ್ ಪಂಚಮಿ,नाग पंचमी,നാഗ് പഞ്ചമി
Hartalika Teej,3,,6,,,Hartalika Teej,ஹர்தாலிகா டீஜ்,హర్తాళికా తీజ్,ಹರ್ತಾಲಿಕಾ ತೀಜ್,हरतालिका तीज,ഹർത്താലിക തീജ്
Anant Chaturdashi,14,,6,,,Anant Chaturdashi,அனந்த சதுர்தசி,అనంత చతుర్దశి,ಅನಂತ ಚತುರ್ದಶಿ,अनंत चतुर्दशी,അനന്ത ചതുർദശി
Pitru Paksha Begins,1,,6,,,Pitru Paksha Begins,பித்ரு பக்ஷ ஆரம்பம்,పితృ పక్షం ప్రారంభమవుతుంది,ಪಿತೃ ಪಕ್ಷ ಪ್ರಾರಂಭವಾಗುತ್ತದೆ,पितृ पक्ष प्रारंभ,പിതൃ പക്ഷം ആരംഭിക്കുന്നു
Pitru Paksha Ends,30,,6,,,Pitru Paksha Ends,பித்ரு பக்ஷ முடிவடைகிறது,పితృ పక్షం సమాప్తం,ಪಿತೃ ಪಕ್ಷ ಕೊನೆಗೊಳ್ಳುತ್ತದೆ,पितृ पक्ष समाप्त,പിതൃ പക്ഷ സമാപനം
Sharannavaratri,1,,6,,,Sharannavaratri,சரன்னவராத்திரி,శరన్నవరాత్రి,ಶರನ್ನವರಾತ್ರಿ,शरणनवरात्रि,ശരന്നവരാത്രി
Kojagari Lakshmi Puja,15,,6,,,Kojagari Lakshmi Puja,கோஜாகரி லட்சுமி பூஜை,కోజాగారి లక్ష్మీ పూజ,ಕೋಜಗರಿ ಲಕ್ಷ್ಮಿ ಪೂಜೆ,कोजागरी लक्ष्मी पूजा,കോജാഗരി ലക്ഷ്മി പൂജ
Kali Puja,30,,7,,,Kali Puja,காளி பூஜை,కాళీ పూజ,ಕಾಳಿ ಪೂಜೆ,काली पूजा,കാളി പൂജ
Bali Pratipada,1,,7,,,Bali Pratipada,பாலி பிரதிபதா,బలి ప్రతిపద,ಬಲಿ ಪ್ರತಿಪದ,बलि प्रतिपदा,ബാലി പ്രതിപദ
Chhath Puja,6,,7,,,Chhath Puja,சத் பூஜை,ఛత్ పూజ,ಛತ್ ಪೂಜೆ,छठ पूजा,ഛത് പൂജ
Margazhi Bhajans,,,9,,,Margazhi Bhajans,மார்கழி பஜனைகள்,మార్గజీ భజనలు,ಮಾರ್ಗಜಿ ಭಜನೆಗಳು,मार्गाज़ी भजन,മാർഗഴി ഭജന
Thiruvempavai,,,9,,,Thiruvempavai,திருவெம்பாவை,తిరువెంపావై,ತಿರುವೆಂಪವೈ,थिरु वेम्पावै,തിരുവെമ്പാവായ്
Vaikuntha Ekadashi,11,,9,,,Vaikuntha Ekadashi,வைகுண்ட ஏகாதசி,వైకుంఠ ఏకాదశి,ವೈಕುಂಠ ಏಕಾದಶಿ,वैकुण्ठ एकादशी,വൈകുണ്ഠ ഏകാദശി
Thiruvalluvar Day,,,10,,,Thiruvalluvar Day,திருவள்ளுவர் தினம்,తిరువల్లువర్ దినోత్సవం,ತಿರುವಳ್ಳುವರ್ ದಿನ,तिरुवल्लुवर दिवस,തിരുവള്ളുവർ ദിനം
Republic Day,,,10,12,,Republic Day,குடியரசு தினம்,గణతంత్ర దినోత్సవం,ಗಣರಾಜ್ಯೋತ್ಸವ,गणतंत्र दिवस,റിപ്പബ്ലിക് ദിനം
